Primary Type,Month,count
ARSON,1,67
ASSAULT,1,3564
BATTERY,1,8502
BURGLARY,1,1597
CONCEALED CARRY LICENSE VIOLATION,1,26
CRIM SEXUAL ASSAULT,1,135
CRIMINAL DAMAGE,1,4307
CRIMINAL SEXUAL ASSAULT,1,232
CRIMINAL TRESPASS,1,1027
DECEPTIVE PRACTICE,1,4376
GAMBLING,1,3
HOMICIDE,1,4
HUMAN TRAFFICKING,1,3
INTERFERENCE WITH PUBLIC OFFICER,1,165
INTIMIDATION,1,30
KIDNAPPING,1,24
LIQUOR LAW VIOLATION,1,34
MOTOR VEHICLE THEFT,1,1860
NARCOTICS,1,2589
OBSCENITY,1,15
OFFENSE INVOLVING CHILDREN,1,864
OTHER NARCOTIC VIOLATION,1,2
OTHER OFFENSE,1,3256
PROSTITUTION,1,103
PUBLIC INDECENCY,1,1
PUBLIC PEACE VIOLATION,1,194
ROBBERY,1,1730
SEX OFFENSE,1,273
STALKING,1,53
THEFT,1,8691
WEAPONS VIOLATION,1,1300
ARSON,2,72
ASSAULT,2,3227
BATTERY,2,7860
BURGLARY,2,1270
CONCEALED CARRY LICENSE VIOLATION,2,29
CRIM SEXUAL ASSAULT,2,63
CRIMINAL DAMAGE,2,3838
CRIMINAL SEXUAL ASSAULT,2,254
CRIMINAL TRESPASS,2,904
DECEPTIVE PRACTICE,2,3183
GAMBLING,2,5
HOMICIDE,2,4
HUMAN TRAFFICKING,2,3
INTERFERENCE WITH PUBLIC OFFICER,2,155
INTIMIDATION,2,22
KIDNAPPING,2,26
LIQUOR LAW VIOLATION,2,52
MOTOR VEHICLE THEFT,2,1567
NARCOTICS,2,2489
NON-CRIMINAL,2,1
OBSCENITY,2,9
OFFENSE INVOLVING CHILDREN,2,524
OTHER NARCOTIC VIOLATION,2,1
OTHER OFFENSE,2,2989
PROSTITUTION,2,101
PUBLIC INDECENCY,2,3
PUBLIC PEACE VIOLATION,2,158
ROBBERY,2,1374
SEX OFFENSE,2,211
STALKING,2,48
THEFT,2,7516
WEAPONS VIOLATION,2,1005
ARSON,3,86
ASSAULT,3,3674
BATTERY,3,9242
BURGLARY,3,1317
CONCEALED CARRY LICENSE VIOLATION,3,29
CRIM SEXUAL ASSAULT,3,57
CRIMINAL DAMAGE,3,4686
CRIMINAL SEXUAL ASSAULT,3,311
CRIMINAL TRESPASS,3,861
DECEPTIVE PRACTICE,3,3034
GAMBLING,3,13
HOMICIDE,3,5
HUMAN TRAFFICKING,3,1
INTERFERENCE WITH PUBLIC OFFICER,3,134
INTIMIDATION,3,21
KIDNAPPING,3,30
LIQUOR LAW VIOLATION,3,37
MOTOR VEHICLE THEFT,3,1767
NARCOTICS,3,2118
OBSCENITY,3,12
OFFENSE INVOLVING CHILDREN,3,585
OTHER NARCOTIC VIOLATION,3,3
OTHER OFFENSE,3,3153
PROSTITUTION,3,86
PUBLIC INDECENCY,3,1
PUBLIC PEACE VIOLATION,3,171
ROBBERY,3,1278
SEX OFFENSE,3,214
STALKING,3,55
THEFT,3,7751
WEAPONS VIOLATION,3,1316
ARSON,4,102
ASSAULT,4,3591
BATTERY,4,8737
BURGLARY,4,1329
CONCEALED CARRY LICENSE VIOLATION,4,24
CRIM SEXUAL ASSAULT,4,61
CRIMINAL DAMAGE,4,4774
CRIMINAL SEXUAL ASSAULT,4,253
CRIMINAL TRESPASS,4,695
DECEPTIVE PRACTICE,4,2645
GAMBLING,4,25
HOMICIDE,4,6
INTERFERENCE WITH PUBLIC OFFICER,4,62
INTIMIDATION,4,23
KIDNAPPING,4,17
LIQUOR LAW VIOLATION,4,27
MOTOR VEHICLE THEFT,4,1768
NARCOTICS,4,1355
NON-CRIMINAL,4,1
OBSCENITY,4,5
OFFENSE INVOLVING CHILDREN,4,627
OTHER OFFENSE,4,2898
PROSTITUTION,4,73
PUBLIC PEACE VIOLATION,4,135
ROBBERY,4,1239
SEX OFFENSE,4,187
STALKING,4,51
THEFT,4,6915
WEAPONS VIOLATION,4,1389
ARSON,5,166
ASSAULT,5,5364
BATTERY,5,12948
BURGLARY,5,2660
CONCEALED CARRY LICENSE VIOLATION,5,38
CRIM SEXUAL ASSAULT,5,139
CRIMINAL DAMAGE,5,7157
CRIMINAL SEXUAL ASSAULT,5,318
CRIMINAL TRESPASS,5,1098
DECEPTIVE PRACTICE,5,3470
GAMBLING,5,24
HOMICIDE,5,4
HUMAN TRAFFICKING,5,2
INTERFERENCE WITH PUBLIC OFFICER,5,167
INTIMIDATION,5,39
KIDNAPPING,5,39
LIQUOR LAW VIOLATION,5,43
MOTOR VEHICLE THEFT,5,2345
NARCOTICS,5,2215
NON-CRIMINAL,5,1
OBSCENITY,5,20
OFFENSE INVOLVING CHILDREN,5,788
OTHER NARCOTIC VIOLATION,5,3
OTHER OFFENSE,5,4039
PROSTITUTION,5,146
PUBLIC INDECENCY,5,4
PUBLIC PEACE VIOLATION,5,593
ROBBERY,5,1794
SEX OFFENSE,5,305
STALKING,5,71
THEFT,5,10859
WEAPONS VIOLATION,5,2109
ARSON,6,175
ASSAULT,6,6430
BATTERY,6,15103
BURGLARY,6,2399
CONCEALED CARRY LICENSE VIOLATION,6,49
CRIM SEXUAL ASSAULT,6,137
CRIMINAL DAMAGE,6,8219
CRIMINAL SEXUAL ASSAULT,6,329
CRIMINAL TRESPASS,6,1323
DECEPTIVE PRACTICE,6,4141
GAMBLING,6,60
HOMICIDE,6,14
HUMAN TRAFFICKING,6,3
INTERFERENCE WITH PUBLIC OFFICER,6,216
INTIMIDATION,6,42
KIDNAPPING,6,45
LIQUOR LAW VIOLATION,6,46
MOTOR VEHICLE THEFT,6,2762
NARCOTICS,6,2440
OBSCENITY,6,17
OFFENSE INVOLVING CHILDREN,6,758
OTHER OFFENSE,6,4553
PROSTITUTION,6,163
PUBLIC PEACE VIOLATION,6,429
ROBBERY,6,2220
SEX OFFENSE,6,338
STALKING,6,80
THEFT,6,13615
WEAPONS VIOLATION,6,2341
ARSON,7,179
ASSAULT,7,6806
BATTERY,7,16012
BURGLARY,7,2732
CONCEALED CARRY LICENSE VIOLATION,7,54
CRIM SEXUAL ASSAULT,7,168
CRIMINAL DAMAGE,7,8968
CRIMINAL SEXUAL ASSAULT,7,375
CRIMINAL TRESPASS,7,1463
DECEPTIVE PRACTICE,7,4344
GAMBLING,7,43
HOMICIDE,7,53
HUMAN TRAFFICKING,7,1
INTERFERENCE WITH PUBLIC OFFICER,7,275
INTIMIDATION,7,52
KIDNAPPING,7,50
LIQUOR LAW VIOLATION,7,95
MOTOR VEHICLE THEFT,7,3344
NARCOTICS,7,2608
OBSCENITY,7,21
OFFENSE INVOLVING CHILDREN,7,710
OTHER OFFENSE,7,4714
PROSTITUTION,7,248
PUBLIC INDECENCY,7,1
PUBLIC PEACE VIOLATION,7,357
ROBBERY,7,2661
SEX OFFENSE,7,377
STALKING,7,106
THEFT,7,15613
WEAPONS VIOLATION,7,2496
ARSON,8,124
ASSAULT,8,5168
BATTERY,8,12602
BURGLARY,8,2634
CONCEALED CARRY LICENSE VIOLATION,8,41
CRIM SEXUAL ASSAULT,8,141
CRIMINAL DAMAGE,8,6882
CRIMINAL SEXUAL ASSAULT,8,258
CRIMINAL TRESPASS,8,1239
DECEPTIVE PRACTICE,8,3290
GAMBLING,8,58
HOMICIDE,8,50
HUMAN TRAFFICKING,8,5
INTERFERENCE WITH PUBLIC OFFICER,8,266
INTIMIDATION,8,44
KIDNAPPING,8,43
LIQUOR LAW VIOLATION,8,71
MOTOR VEHICLE THEFT,8,2609
NARCOTICS,8,2612
NON-CRIMINAL,8,3
OBSCENITY,8,9
OFFENSE INVOLVING CHILDREN,8,595
OTHER NARCOTIC VIOLATION,8,2
OTHER OFFENSE,8,3585
PROSTITUTION,8,156
PUBLIC INDECENCY,8,3
PUBLIC PEACE VIOLATION,8,271
ROBBERY,8,2250
SEX OFFENSE,8,293
STALKING,8,58
THEFT,8,13034
WEAPONS VIOLATION,8,2024
ARSON,9,97
ASSAULT,9,4213
BATTERY,9,10155
BURGLARY,9,1921
CONCEALED CARRY LICENSE VIOLATION,9,51
CRIM SEXUAL ASSAULT,9,125
CRIMINAL DAMAGE,9,5336
CRIMINAL SEXUAL ASSAULT,9,208
CRIMINAL TRESPASS,9,1144
DECEPTIVE PRACTICE,9,2842
GAMBLING,9,40
HOMICIDE,9,72
HUMAN TRAFFICKING,9,2
INTERFERENCE WITH PUBLIC OFFICER,9,186
INTIMIDATION,9,40
KIDNAPPING,9,36
LIQUOR LAW VIOLATION,9,47
MOTOR VEHICLE THEFT,9,1895
NARCOTICS,9,2290
NON-CRIMINAL,9,2
OBSCENITY,9,9
OFFENSE INVOLVING CHILDREN,9,563
OTHER OFFENSE,9,3070
PROSTITUTION,9,165
PUBLIC INDECENCY,9,3
PUBLIC PEACE VIOLATION,9,280
ROBBERY,9,1729
SEX OFFENSE,9,256
STALKING,9,49
THEFT,9,10392
WEAPONS VIOLATION,9,1454
ARSON,10,88
ASSAULT,10,3910
BATTERY,10,9497
BURGLARY,10,1928
CONCEALED CARRY LICENSE VIOLATION,10,29
CRIM SEXUAL ASSAULT,10,124
CRIMINAL DAMAGE,10,5271
CRIMINAL SEXUAL ASSAULT,10,198
CRIMINAL TRESPASS,10,1077
DECEPTIVE PRACTICE,10,3727
GAMBLING,10,27
HOMICIDE,10,75
HUMAN TRAFFICKING,10,2
INTERFERENCE WITH PUBLIC OFFICER,10,175
INTIMIDATION,10,41
KIDNAPPING,10,18
LIQUOR LAW VIOLATION,10,45
MOTOR VEHICLE THEFT,10,2029
NARCOTICS,10,2429
OBSCENITY,10,14
OFFENSE INVOLVING CHILDREN,10,566
OTHER OFFENSE,10,3164
PROSTITUTION,10,108
PUBLIC INDECENCY,10,4
PUBLIC PEACE VIOLATION,10,242
ROBBERY,10,1779
SEX OFFENSE,10,232
STALKING,10,33
THEFT,10,10113
WEAPONS VIOLATION,10,1348
ARSON,11,93
ASSAULT,11,3402
BATTERY,11,8614
BURGLARY,11,1778
CONCEALED CARRY LICENSE VIOLATION,11,24
CRIM SEXUAL ASSAULT,11,97
CRIMINAL DAMAGE,11,4658
CRIMINAL SEXUAL ASSAULT,11,203
CRIMINAL TRESPASS,11,989
DECEPTIVE PRACTICE,11,3632
GAMBLING,11,14
HOMICIDE,11,59
INTERFERENCE WITH PUBLIC OFFICER,11,149
INTIMIDATION,11,26
KIDNAPPING,11,40
LIQUOR LAW VIOLATION,11,36
MOTOR VEHICLE THEFT,11,1882
NARCOTICS,11,2159
NON-CRIMINAL,11,1
OBSCENITY,11,8
OFFENSE INVOLVING CHILDREN,11,538
OTHER NARCOTIC VIOLATION,11,1
OTHER OFFENSE,11,2762
PROSTITUTION,11,139
PUBLIC INDECENCY,11,1
PUBLIC PEACE VIOLATION,11,188
RITUALISM,11,1
ROBBERY,11,1700
SEX OFFENSE,11,211
STALKING,11,51
THEFT,11,9007
WEAPONS VIOLATION,11,1288
ARSON,12,92
ASSAULT,12,3319
BATTERY,12,8473
BURGLARY,12,1693
CONCEALED CARRY LICENSE VIOLATION,12,25
CRIM SEXUAL ASSAULT,12,89
CRIMINAL DAMAGE,12,4342
CRIMINAL SEXUAL ASSAULT,12,168
CRIMINAL TRESPASS,12,949
DECEPTIVE PRACTICE,12,4306
GAMBLING,12,4
HOMICIDE,12,6
INTERFERENCE WITH PUBLIC OFFICER,12,165
INTIMIDATION,12,17
KIDNAPPING,12,35
LIQUOR LAW VIOLATION,12,17
MOTOR VEHICLE THEFT,12,1924
NARCOTICS,12,2072
OBSCENITY,12,9
OFFENSE INVOLVING CHILDREN,12,552
OTHER NARCOTIC VIOLATION,12,1
OTHER OFFENSE,12,2706
PROSTITUTION,12,95
PUBLIC INDECENCY,12,1
PUBLIC PEACE VIOLATION,12,168
ROBBERY,12,1637
SEX OFFENSE,12,204
STALKING,12,32
THEFT,12,9447
WEAPONS VIOLATION,12,1326
